EmployeeID,Age,Gender,MaritalStatus,Education_Level,EducationField,BusinessTravel,Department,Commute,MonthlyIncome,MonthlyRate,DailyRate,HourlyRate,Grade,Role,Satisfaction,NumCompaniesWorked,OverTime,TotalExperienceYears,YearsInCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithLineManager,Attrition
1,41,Female,Single,2,Social Sciences,rarely,Sales,1,5993,19479,1102,94,2,Sales Executive,4,8,Yes,8,6,4,0,5,Yes
2,49,Male,Married,1,Social Sciences,frequently,Research & Development,8,5130,24907,279,61,2,Research Scientist,2,1,No,10,10,7,1,7,No
4,37,Male,Single,2,Other,rarely,Research & Development,2,2090,2396,1373,92,1,Laboratory Technician,3,6,Yes,7,0,0,0,0,Yes
5,33,Female,Married,4,Social Sciences,frequently,Research & Development,3,2909,23159,1392,56,1,Research Scientist,3,1,Yes,8,8,7,3,0,No
7,27,Male,Married,1,Health Science,rarely,Research & Development,2,3468,16632,591,40,1,Laboratory Technician,2,9,No,6,2,2,2,2,No
8,32,Male,Single,2,Social Sciences,frequently,Research & Development,2,3068,11864,1005,79,1,Laboratory Technician,4,0,No,8,7,7,3,6,No
10,59,Female,Married,3,Health Science,rarely,Research & Development,3,2670,9964,1324,81,1,Laboratory Technician,1,4,Yes,12,1,0,0,0,No
11,30,Male,Divorced,1,Social Sciences,rarely,Research & Development,24,2693,13335,1358,67,1,Laboratory Technician,3,1,No,1,1,0,0,0,No
12,38,Male,Single,3,Social Sciences,frequently,Research & Development,23,9526,8787,216,44,3,Manufacturing Director,3,0,No,10,9,7,1,8,No
13,36,Male,Married,3,Health Science,rarely,Research & Development,27,5237,16577,1299,94,2,Healthcare Representative,3,6,No,17,7,7,7,7,No
14,35,Male,Married,3,Health Science,rarely,Research & Development,16,2426,16479,809,84,1,Laboratory Technician,2,0,No,6,5,4,0,3,No
15,29,Female,Single,2,Social Sciences,rarely,Research & Development,15,4193,12682,153,49,2,Laboratory Technician,3,0,Yes,10,9,5,0,8,No
16,31,Male,Divorced,1,Social Sciences,rarely,Research & Development,26,2911,15170,670,31,1,Research Scientist,3,1,No,5,5,2,4,3,No
18,34,Male,Divorced,2,Health Science,rarely,Research & Development,19,2661,8758,1346,93,1,Laboratory Technician,4,0,No,3,2,2,1,2,No
19,28,Male,Single,3,Social Sciences,rarely,Research & Development,24,2028,12947,103,50,1,Laboratory Technician,3,5,Yes,6,4,2,0,3,Yes
20,29,Female,Divorced,4,Social Sciences,rarely,Research & Development,21,9980,10195,1389,51,3,Manufacturing Director,1,1,No,10,10,9,8,8,No
21,32,Male,Divorced,2,Social Sciences,rarely,Research & Development,5,3298,15053,334,80,1,Research Scientist,2,0,Yes,7,6,2,0,5,No
22,22,Male,Divorced,2,Health Science,none,Research & Development,16,2935,7324,1123,96,1,Laboratory Technician,4,1,Yes,1,1,0,0,0,No
23,53,Female,Married,4,Social Sciences,rarely,Sales,2,15427,22021,1219,78,4,Manager,4,2,No,31,25,8,3,7,No
24,38,Male,Single,3,Social Sciences,rarely,Research & Development,2,3944,4306,371,45,1,Research Scientist,4,5,Yes,6,3,2,1,2,No
26,24,Female,Divorced,2,Other,none,Research & Development,11,4011,8232,673,96,2,Manufacturing Director,3,0,No,5,4,2,1,3,No
27,36,Male,Single,4,Social Sciences,rarely,Sales,9,3407,6986,1218,82,1,Sales Representative,1,7,No,10,5,3,0,3,Yes
28,34,Female,Single,4,Social Sciences,rarely,Research & Development,7,11994,21293,419,53,3,Research Director,2,0,No,13,12,6,2,11,No
30,21,Male,Single,2,Social Sciences,rarely,Research & Development,15,1232,19281,391,96,1,Research Scientist,4,1,No,0,0,0,0,0,No
31,34,Male,Single,1,Health Science,rarely,Research & Development,6,2960,17102,699,83,1,Research Scientist,1,2,No,8,4,2,1,3,Yes
32,53,Female,Divorced,3,Other,rarely,Research & Development,5,19094,10735,1282,58,5,Manager,3,4,No,26,14,13,4,8,No
33,32,Female,Single,1,Social Sciences,frequently,Research & Development,16,3919,4681,1125,72,1,Research Scientist,1,1,Yes,10,10,2,6,7,Yes
35,42,Male,Married,4,Business,rarely,Sales,8,6825,21173,691,48,2,Sales Executive,2,0,No,10,9,7,4,2,No
36,44,Female,Married,4,Health Science,rarely,Research & Development,7,10248,2094,477,42,3,Healthcare Representative,4,3,No,24,22,6,5,17,No
38,46,Female,Single,4,Business,rarely,Sales,2,18947,22822,705,83,5,Manager,1,3,No,22,2,2,2,1,No
39,33,Male,Single,3,Health Science,rarely,Research & Development,2,2496,6670,924,78,1,Laboratory Technician,4,4,No,7,1,1,0,0,No
40,44,Male,Married,4,Other,rarely,Research & Development,10,6465,19121,1459,41,2,Healthcare Representative,4,2,Yes,9,4,2,1,3,No
41,30,Male,Single,2,Health Science,rarely,Research & Development,9,2206,16117,125,83,1,Laboratory Technician,3,1,No,10,10,0,1,8,No
42,39,Male,Married,3,Engineering,rarely,Sales,5,2086,3335,895,56,2,Sales Representative,4,3,No,19,1,0,0,0,Yes
45,24,Male,Married,3,Health Science,rarely,Research & Development,1,2293,3020,813,61,1,Research Scientist,4,2,Yes,6,2,0,2,0,Yes
46,43,Female,Divorced,2,Health Science,rarely,Research & Development,2,2645,21923,1273,72,1,Research Scientist,3,1,No,6,5,3,1,4,No
47,50,Male,Married,2,Business,rarely,Sales,3,2683,3810,869,86,1,Sales Representative,3,1,Yes,3,3,2,0,2,Yes
49,35,Female,Married,3,Business,rarely,Sales,2,2014,9687,890,97,1,Sales Representative,4,1,No,2,2,2,2,2,No
51,36,Female,Married,4,Social Sciences,rarely,Research & Development,5,3419,13072,852,82,1,Research Scientist,1,9,Yes,6,1,1,0,0,No
52,33,Female,Married,3,Social Sciences,frequently,Sales,1,5376,3193,1141,42,2,Sales Executive,1,2,No,10,5,3,1,3,No
53,35,Male,Divorced,2,Other,rarely,Research & Development,4,1951,10910,464,75,1,Laboratory Technician,4,1,No,1,1,0,0,0,No
54,27,Female,Divorced,4,Social Sciences,rarely,Research & Development,2,2341,19715,1240,33,1,Laboratory Technician,1,1,No,1,1,0,0,0,No
55,26,Male,Single,3,Social Sciences,rarely,Research & Development,25,2293,10558,1357,48,1,Laboratory Technician,3,1,No,1,1,0,0,1,Yes
56,27,Male,Single,3,Social Sciences,frequently,Sales,8,8726,2975,994,37,3,Sales Executive,3,1,No,9,9,8,1,7,No
57,30,Female,Single,2,Health Science,frequently,Research & Development,1,4011,10781,721,58,2,Laboratory Technician,4,1,No,12,12,8,3,7,No
58,41,Female,Married,3,Engineering,rarely,Research & Development,12,19545,16280,1360,49,5,Research Director,3,1,No,23,22,15,15,8,Yes
60,34,Male,Single,4,Business,none,Sales,23,4568,10034,1065,72,2,Sales Executive,3,0,No,10,9,5,8,7,No
61,37,Male,Married,2,Social Sciences,rarely,Research & Development,19,3022,10227,408,73,1,Research Scientist,2,4,No,8,1,0,0,0,No
62,46,Male,Single,4,Business,frequently,Sales,5,5772,20445,1211,98,2,Sales Executive,4,4,Yes,14,9,6,0,8,No
63,35,Male,Married,1,Social Sciences,rarely,Research & Development,8,2269,4892,1229,36,1,Laboratory Technician,4,1,No,1,1,0,0,1,No
64,48,Male,Single,2,Social Sciences,rarely,Research & Development,1,5381,19294,626,98,3,Laboratory Technician,3,9,Yes,23,1,0,0,0,Yes
65,28,Male,Single,4,Engineering,rarely,Research & Development,5,3441,11179,1434,50,1,Laboratory Technician,3,1,Yes,2,2,2,2,2,Yes
68,44,Female,Divorced,5,Business,rarely,Sales,1,5454,4009,1488,75,2,Sales Executive,1,5,Yes,9,4,3,1,3,No
70,35,Male,Married,2,Health Science,none,Research & Development,11,9884,8302,1097,79,3,Healthcare Representative,1,2,Yes,10,4,0,2,3,No
72,26,Female,Married,3,Business,rarely,Sales,23,4157,21436,1443,47,2,Sales Executive,4,7,Yes,5,2,2,0,0,No
73,33,Female,Single,2,Social Sciences,frequently,Research & Development,1,13458,15146,515,98,3,Research Director,4,1,Yes,15,15,14,8,12,No
74,35,Male,Married,5,Social Sciences,frequently,Sales,18,9069,11031,853,71,3,Sales Executive,1,1,No,9,9,8,1,8,No
75,35,Female,Married,4,Health Science,rarely,Research & Development,23,4014,16002,1142,30,1,Laboratory Technician,1,3,Yes,4,2,2,2,2,No
76,31,Male,Divorced,4,Social Sciences,rarely,Research & Development,7,5915,9528,655,48,2,Laboratory Technician,4,3,No,10,7,7,1,7,No
77,37,Male,Divorced,4,Social Sciences,rarely,Research & Development,1,5993,2689,1115,51,2,Manufacturing Director,3,1,No,7,7,5,0,7,No
78,32,Male,Married,3,Health Science,rarely,Research & Development,1,6162,10877,427,33,2,Manufacturing Director,4,1,Yes,9,9,8,7,8,No
79,38,Female,Single,5,Social Sciences,frequently,Research & Development,29,2406,5456,653,50,2,Laboratory Technician,4,1,No,10,10,3,9,9,No
80,50,Female,Divorced,2,Health Science,rarely,Research & Development,7,18740,16701,989,43,5,Research Director,3,5,Yes,29,27,3,13,8,No
81,59,Female,Single,3,Social Sciences,rarely,Sales,25,7637,2354,1435,99,3,Sales Executive,1,7,No,28,21,16,7,9,No
83,36,Female,Divorced,3,Engineering,rarely,Research & Development,8,10096,8202,1223,59,3,Healthcare Representative,3,1,No,17,17,14,12,8,No
84,55,Female,Divorced,3,Health Science,rarely,Research & Development,8,14756,19730,836,33,4,Manager,3,2,Yes,21,5,0,0,2,No
85,36,Male,Single,3,Social Sciences,frequently,Research & Development,11,6499,22656,1195,95,2,Manufacturing Director,2,1,No,6,6,5,0,3,No
86,45,Male,Divorced,3,Social Sciences,rarely,Research & Development,7,9724,18787,1339,59,3,Research Scientist,1,2,No,25,1,0,0,0,No
88,35,Male,Married,3,Health Science,frequently,Research & Development,1,2194,5868,664,79,1,Research Scientist,1,4,No,5,3,2,1,2,No
90,36,Male,Married,3,Health Science,rarely,Research & Development,9,3388,21777,318,79,1,Research Scientist,3,0,Yes,2,1,0,0,0,Yes
91,59,Female,Single,1,Social Sciences,frequently,Sales,1,5473,24668,1225,57,2,Sales Executive,3,7,No,20,4,3,1,3,No
94,29,Male,Married,3,Social Sciences,rarely,Research & Development,2,2703,4956,1328,76,1,Research Scientist,2,0,No,6,5,4,0,4,No
95,31,Male,Single,4,Health Science,rarely,Research & Development,1,2501,18775,1082,87,1,Research Scientist,2,1,No,1,1,1,1,0,No
96,32,Male,Married,3,Social Sciences,rarely,Research & Development,1,6220,7346,548,66,2,Research Scientist,2,1,No,10,10,4,0,9,No
97,36,Female,Married,3,Social Sciences,rarely,Research & Development,6,3038,22002,132,55,1,Laboratory Technician,4,3,No,5,1,0,0,0,No
98,31,Female,Single,4,Social Sciences,rarely,Research & Development,8,4424,20682,746,61,2,Manufacturing Director,4,1,No,11,11,7,1,8,No
100,35,Male,Single,4,Business,rarely,Sales,1,4312,23016,776,32,2,Sales Executive,1,0,No,16,15,13,2,8,No
101,45,Male,Married,4,Other,rarely,Research & Development,6,13245,15067,193,52,3,Research Director,1,4,Yes,17,0,0,0,0,No
102,37,Male,Single,4,Health Science,rarely,Research & Development,7,13664,25258,397,30,3,Research Director,3,4,No,16,5,2,0,2,No
103,46,Male,Divorced,2,Health Science,rarely,Human Resources,5,5021,10425,945,80,2,Human Resources,2,8,Yes,16,4,2,0,2,No
104,30,Male,Married,1,Social Sciences,rarely,Research & Development,1,5126,15998,852,55,2,Laboratory Technician,4,1,Yes,10,10,8,3,0,No
105,35,Male,Single,3,Health Science,rarely,Research & Development,1,2859,26278,1214,30,1,Research Scientist,3,1,No,6,6,4,0,4,No
106,55,Male,Married,2,Social Sciences,rarely,Sales,1,10239,18092,111,70,3,Sales Executive,4,3,No,24,1,0,1,0,No
107,38,Female,Divorced,3,Health Science,none,Research & Development,6,5329,15717,573,79,2,Research Scientist,4,7,Yes,17,13,11,1,9,No
110,34,Male,Married,2,Health Science,rarely,Research & Development,1,4325,17736,1153,94,2,Manufacturing Director,2,1,No,5,5,2,1,3,No
112,56,Male,Single,3,Social Sciences,rarely,Research & Development,7,7260,21698,1400,49,3,Manufacturing Director,4,4,No,37,6,4,0,2,No
113,23,Male,Divorced,1,Engineering,rarely,Sales,2,2322,9518,541,62,1,Sales Representative,1,3,No,3,0,0,0,0,No
116,51,Male,Married,4,Social Sciences,rarely,Research & Development,9,2075,18725,432,96,1,Laboratory Technician,4,3,No,10,4,2,0,3,No
117,30,Male,Married,3,Social Sciences,rarely,Research & Development,2,4152,15830,288,99,2,Healthcare Representative,4,1,No,11,11,10,10,8,No
118,46,Male,Single,2,Health Science,rarely,Sales,9,9619,13596,669,64,3,Sales Executive,4,1,No,9,9,8,4,7,Yes
119,40,Male,Married,4,Social Sciences,frequently,Research & Development,1,13503,14115,530,78,4,Healthcare Representative,2,1,No,22,22,3,11,11,No
120,51,Male,Single,4,Business,rarely,Sales,21,5441,8423,632,71,2,Sales Executive,4,0,Yes,11,10,7,1,0,No
121,30,Female,Divorced,2,Health Science,rarely,Sales,4,5209,19760,1334,63,2,Sales Executive,2,1,Yes,11,11,8,2,7,No
124,46,Male,Married,3,Health Science,frequently,Research & Development,1,10673,3142,638,40,3,Healthcare Representative,1,2,Yes,21,10,9,9,5,No
125,32,Male,Single,4,Health Science,rarely,Sales,6,5010,24301,1093,87,2,Sales Executive,3,1,No,12,11,8,5,7,No
126,54,Female,Married,4,Engineering,rarely,Research & Development,2,13549,24001,1217,60,3,Research Director,3,9,No,16,4,3,0,3,No
128,24,Female,Married,2,Other,rarely,Sales,3,4999,17519,1353,33,2,Sales Executive,3,0,No,4,3,2,0,2,No
129,28,Male,Married,3,Health Science,none,Sales,4,4221,8863,120,43,2,Sales Executive,3,1,No,5,5,4,0,4,No
131,58,Male,Single,4,Health Science,rarely,Sales,10,13872,24409,682,37,4,Sales Executive,3,0,No,38,37,10,1,8,No
132,44,Male,Married,3,Health Science,none,Research & Development,23,2042,25043,489,67,2,Laboratory Technician,2,4,No,17,3,2,1,2,No
133,37,Male,Divorced,4,Human Resources,rarely,Human Resources,6,2073,23648,807,63,1,Human Resources,1,4,Yes,7,3,2,0,2,Yes
134,32,Male,Single,1,Social Sciences,rarely,Research & Development,1,2956,15178,827,71,1,Research Scientist,1,1,No,1,1,0,0,0,No
137,20,Female,Single,3,Social Sciences,frequently,Research & Development,6,2926,19783,871,66,1,Laboratory Technician,4,1,Yes,1,1,0,1,0,Yes
